group_id,group_name,search_query,priority,language,topic,member_count,activity_level,public_or_private,posting_allowed,self_promotion_allowed,risk_level,recommended_action,recommended_post_angle,recommended_frequency,url_confirmed,notes
P1-01,Berači malina — zapadna Srbija,"Berači malina zapadna Srbija",priority_1,Serbian,raspberry picking,~8000,high,public,likely yes,likely yes,low,post_directly,worker_help,once,false,Confirmed by Serbian news media as active during season
P1-02,Sezonski poslovi Srbija,"Sezonski poslovi Srbija",priority_1,Serbian,seasonal jobs general,unknown,medium-high,public,likely yes,check rules,low,post_directly,daily_digest_invitation,once,false,Most obvious target — search for largest variant
P1-03,Sezonski rad Srbija / BiH / Crna Gora,"Sezonski rad Srbija BiH Crna Gora",priority_1,Serbian/Bosnian/Montenegrin,seasonal regional,unknown,medium,public,likely yes,likely yes,low,post_directly,worker_help,once,false,Cross-border workers from BiH and Montenegro
P1-04,Poslovi sa smeštajem — Srbija,"Poslovi sa smeštajem Srbija",priority_1,Serbian,jobs with accommodation,unknown,medium,public,likely yes,check rules,low,post_directly,worker_help,once,false,Perfect fit — seasonal work often includes accommodation
P1-05,Poslovi Srem,"Poslovi Srem",priority_1,Serbian,local jobs Srem,3000-8000,medium,public,likely yes,likely yes,low,post_directly,worker_help,once,false,Active for blueberries greenhouses cold storage
P1-06,Poljoprivredni poslovi Srbija,"Poljoprivredni poslovi Srbija",priority_1,Serbian,agriculture jobs,unknown,medium,public,likely yes,check rules,low,post_directly,worker_help,once,false,Direct match — seasonal agriculture
P1-07,Poslovi Subotica i okolina,"Poslovi Subotica",priority_1,Serbian/Hungarian,local jobs Subotica,3000-5000,medium,public,likely yes,likely yes,low,post_directly,worker_help,once,false,Industrial+agricultural — bilingual opportunity
P1-08,Berba voća i povrća — radnici i poslodavci,"Berba voća radnici",priority_1,Serbian,fruit vegetable harvest,unknown,seasonal,public,likely yes,check rules,low,post_directly,worker_help,once_per_season,false,Spikes during harvest months June-October
P1-09,Plastenici posao Srbija,"Plastenici posao",priority_1,Serbian,greenhouse jobs,unknown,low-medium,public,likely yes,check rules,low,post_directly,worker_help,once,false,Niche but relevant — greenhouse workers
P1-10,Hladnjače posao Srbija,"Hladnjača posao",priority_1,Serbian,cold storage jobs,unknown,seasonal,public,likely yes,check rules,low,post_directly,worker_help,once,false,100+ cold storages in Serbia — 50-60 workers each
P1-11,Poslovi Arilje / Ivanjica / Čačak,"Poslovi Arilje",priority_1,Serbian,local berry region,1000-5000,high in season,public,likely yes,check rules carefully,low-medium,check_rules_first,worker_help,once_per_group,false,Gold for reaching raspberry workers — check admin rules
P1-12,Poslovi Vojvodina,"Poslovi Vojvodina",priority_1,Serbian/Hungarian,local Vojvodina,5000-10000,medium,public,likely yes,likely yes,low,post_directly,worker_help,once,false,Agriculture+industry — large seasonal workforce
P2-01,Poslovi Srbija,"Poslovi Srbija",priority_2,Serbian,general jobs,20000-50000,high,public,check rules,unlikely,medium,soft_comment_only,soft_comment_only,comment only,false,Very large — don't post — comment when relevant
P2-02,Poslovi Novi Sad,"Poslovi Novi Sad",priority_2,Serbian,local jobs Novi Sad,10000-20000,high,public,check rules,check rules,low-medium,check_rules_first,worker_help,once if allowed,false,2nd largest city — construction hospitality seasonal
P2-03,Poslovi Beograd,"Poslovi Beograd",priority_2,Serbian,local jobs Belgrade,30000+,very high,public,check rules,unlikely,medium,soft_comment_only,soft_comment_only,comment only,false,Largest job group — high risk of spam removal
P2-04,Hitno potreban radnik Srbija,"Hitno potreban radnik",priority_2,Serbian,urgent jobs,unknown,high,public,likely yes,check rules,low,post_directly,worker_help,once,false,People looking for urgent work = seasonal candidates
P2-05,Dnevnice Srbija,"Dnevnice Srbija",priority_2,Serbian,daily wage jobs,unknown,medium,public,likely yes,check rules,low,post_directly,worker_help,once,false,Seasonal work is typically daily-paid
P2-06,Fizički poslovi Srbija,"Fizički poslovi Srbija",priority_2,Serbian,manual labor jobs,unknown,medium,public,likely yes,check rules,low,post_directly,worker_help,once,false,Physical work audience — seasonal angle
P2-07,Oglasi za posao Srbija,"Oglasi za posao Srbija",priority_2,Serbian,job ads general,unknown,high,public,check rules,unlikely,medium,check_rules_first,employer_invitation,once if allowed,false,Employer-focused — angle: free job posting
P2-08,Poslovi Niš,"Poslovi Niš",priority_2,Serbian,local jobs Nis,5000-10000,medium,public,check rules,check rules,low,check_rules_first,worker_help,once if allowed,false,Southern Serbia agriculture+industry
P3-01,Работа в Сербии для русских,"Работа в Сербии для русских",priority_3,Russian,expat Russian,10000-25000,high,public,check rules,unlikely,medium,post_directly,community_support,once,false,Soft invitation — Russian template
P3-02,Українці в Сербії,"Українці в Сербії",priority_3,Ukrainian,expat Ukrainian,10000-20000,high,public,check rules,unlikely,medium,post_directly,community_support,once,false,Soft invitation — Ukrainian template
P3-03,Magyarok Szerbiában,"Magyarok Szerbiában",priority_3,Hungarian,expat Hungarian,5000-10000,medium,public,check rules,unlikely,low,post_directly,community_support,once,false,Hungarian minority Vojvodina — Hungarian template
P3-04,Stranci u Srbiji,"Stranci u Srbiji",priority_3,English/Serbian,expat general,5000-15000,medium,public,check rules,unlikely,low,post_directly,community_support,once,false,English post — temporary/seasonal work angle
P3-05,Studentski poslovi Srbija,"Studentski poslovi Srbija",priority_3,Serbian,student jobs,10000-20000,medium-high,public,check rules,check rules,low,check_rules_first,worker_help,once before summer,false,Students = summer seasonal workers
DNP-01,Poslovi Hrvatska / Slovenija,DO NOT SEARCH,do_not_post,Croatian/Slovenian,wrong country,varies,varies,varies,no,no,high,do_not_post,do_not_post,never,false,Wrong country — only regional groups that include Serbia
DNP-02,MLM / Biznis grupe,DO NOT SEARCH,do_not_post,Serbian,mlm/business,varies,varies,varies,no,no,high,do_not_post,do_not_post,never,false,Spam-filled — avoid entirely
DNP-03,Inactive groups (30+ days),check when browsing,do_not_post,any,inactive,any,dead,any,no,no,low,do_not_post,do_not_post,never,false,No recent activity — not worth time
DNP-04,Private strict admission groups,check when browsing,do_not_post,any,private strict,any,any,private,no,no,medium,do_not_post,do_not_post,never,false,Can't join easily — skip
DNP-05,Spam-filled unmoderated groups,check when browsing,do_not_post,any,spam,any,any,any,no,no,high,do_not_post,do_not_post,never,false,>50% spam — associates us with spam